timestamp,temp,pressure,humidity,wind_speed,weather_code
1752004800,18.55,1006,73,2.55,804
1752008400,20.17,1005,76,3.17,804
1752012000,20.17,1005,76,3.09,804
1752015600,19.61,1005,79,3.32,804
1752019200,19.06,1005,82,2.73,804
1752022800,18.5,1004,84,2.43,500
1752026400,17.95,1004,90,2.78,501
1752030000,17.39,1004,91,4.41,501
1752033600,17.39,1003,92,4.49,500
1752037200,16.84,1003,92,4.59,501
1752040800,16.28,1003,93,5.33,502
1752044400,16.84,1004,94,5.99,501
1752048000,17.39,1004,94,6.04,804
1752051600,18.5,1004,92,6.53,804
1752055200,18.5,1005,89,6.12,804
1752058800,15.92,1005,92,6.04,804
1752062400,18.5,1006,85,6.12,804
1752066000,17.95,1006,90,6.64,804
1752069600,17.39,1006,90,6.96,804
1752073200,17.39,1007,90,7.01,804
1752076800,17.39,1008,91,6.06,804
1752080400,17.39,1008,89,6.1,804
1752084000,17.39,1008,88,6.18,804
1752087600,16.84,1009,87,5.39,804
1752091200,16.84,1009,88,4.53,804
1752094800,16.28,1008,89,4.07,804
1752098400,16.28,1008,89,4.52,804
1752102000,16.28,1008,90,5.2,804
1752105600,15.73,1008,91,5.05,804
1752109200,15.73,1008,91,3.79,804
1752112800,15.73,1008,92,4.35,804
1752116400,15.73,1008,92,4.93,804
1752120000,15.73,1007,92,5.38,804
1752123600,15.73,1007,92,6.57,804
1752127200,16.28,1007,90,6.12,804
1752130800,16.84,1007,88,6.71,804
1752134400,16.84,1006,85,7.24,804
1752138000,17.39,1006,82,6.01,804
1752141600,16.28,1006,90,5.58,804
1752145200,15.73,1007,92,5.77,500
1752148800,15.73,1007,93,6.08,804
1752152400,15.73,1007,92,6.83,804
1752156000,15.73,1007,92,5.52,500
1752159600,15.73,1007,93,5.56,804
1752163200,15.73,1006,92,5.16,804
1752166800,15.17,1005,92,5.01,500
1752170400,14.61,1005,93,4.9,500
1752174000,14.06,1006,93,5.19,804
1752177600,14.06,1006,93,5.31,804
1752181200,13.5,1005,93,5.51,804
1752184800,13.5,1005,93,5.28,804
1752188400,13.5,1004,93,4.88,804
1752192000,14.06,1005,94,4.55,804
1752195600,14.06,1004,94,4.43,804
1752199200,13.5,1004,93,4.32,804
1752202800,13.5,1004,94,4.35,804
1752206400,13.5,1004,94,4.64,804
1752210000,14.06,1004,94,4.38,804
1752213600,14.61,1004,94,4.59,804
1752217200,15.17,1005,94,4.87,804
1752220800,15.17,1005,93,5.01,804
1752224400,14.61,1006,93,4.5,804
1752228000,14.61,1006,93,4.57,804
1752231600,15.17,1007,93,4.96,804
1752235200,15.57,1008,88,5.49,804
1752238800,16.28,1009,90,5.16,804
1752242400,15.73,1008,91,5.07,804
1752246000,16.28,1009,91,5.3,804
1752249600,15.73,1009,91,5.14,804
1752253200,14.91,1009,89,4.91,804
1752256800,14.71,1010,89,4.71,804
1752260400,16.28,1011,89,2.96,804
1752264000,15.73,1011,88,3.09,804
1752267600,15.73,1011,88,3.31,804
1752271200,14.61,1011,88,3.55,803
1752274800,14.61,1011,88,3.98,804
1752278400,14.06,1012,88,4.74,804
1752282000,14.06,1012,88,4.41,804
1752285600,14.06,1013,88,4.02,804
1752289200,13.5,1013,89,3.71,804
1752292800,14.06,1013,90,3.84,803
1752296400,15.17,1014,88,4.15,803
1752300000,16.84,1014,83,4.65,802
1752303600,18.5,1014,77,5.44,800
1752307200,20.17,1014,69,5.32,800
1752310800,21.84,1015,62,5.92,801
1752314400,22.95,1015,59,6.79,800
1752318000,24.06,1014,54,6.45,801
1752321600,24.61,1015,51,6.19,802
1752325200,24.61,1015,53,5.57,804
1752328800,21.68,1015,69,4.42,804
1752332400,21.09,1015,70,2.63,803
1752336000,20.39,1015,63,3.43,803
1752339600,20.08,1015,67,1.61,803
1752343200,19.2,1016,73,2.29,803
1752346800,17.85,1016,80,2.66,803
1752350400,18.5,1016,70,2.61,804
1752354000,16.44,1016,83,3.37,804
1752357600,15.77,1016,84,3.16,803
1752361200,16.84,1016,80,3.3,803
1752364800,15.17,1017,82,3.3,802
1752368400,14.61,1017,85,3.24,803
1752372000,14.61,1016,86,3.03,803
1752375600,14.61,1016,86,2.95,804
1752379200,15.17,1017,86,2.83,803
1752382800,16.84,1017,85,3.7,803
1752386400,18.5,1017,80,4.06,803
1752390000,21.28,1017,72,3.96,801
1752393600,23.5,1017,67,3.68,801
1752397200,25.17,1017,58,3.3,801
1752400800,26.28,1017,54,3.16,802
1752404400,26.84,1016,50,3.23,802
